corpus: preloaded/ententen15_tt31
subcorpus: 
size: 5911971
query: Query:[lc="build" | lemma_lc="build"], GDEX:2000
presidio.gov| <s> It was built in 1895, the course has played host to some of the greatest golfers in the world as well as to refugees of the 1906 earthquake. </s>
ghanaoilwatch.org| <s> Mr. Obimpeh-Abedi says the shorebase will also have a facility that will assist in the supply of Ghana's Gas Plant to be built in the Ellembele District. </s> 
weeportal-lb.org| <s> At that stage, the project focused on building the capacity of women's organizations with knowledge and skills for working with men towards ending VAW and thus by their engagement with men, to positively change the attitudes, practices and policies of men and boys. </s> 
boehmsumc.org| <s> His heart for mission has taken him to the western U.S. to build trails and assist in fighting wildfires, as well as to serve at Broken Arrow Bible Ranch. </s> 
softpanorama.info| <s> In the same article, Belkovsky (u know the man who published about Putin's wealth) accuses the French Vinci group (which is heavily involved in building the road through the Khimki forest) of having a(n) (indirect) hand in the beating of the journalists and continues to defend the project despite of the demonstrations. </s> 
omahapubliclibrary.org| <s> Marlane also believes that an important part of her job is building relationships with staff, community organizations, and other library stakeholders. </s> 
senate.gov| <s> He built the Dunder Mifflin paper company. </s>
parkerchronicle.net| <s> The Freedom School was built by Robert LeFevre, opened in 1957 and stayed in Douglas County until 1968, teaching Libertarian philosophies to such people as the Koch Brothers, Ayn Rand, Ludwig Heinrich Elder von Misas and Milton Freidman. </s>
wimbledonmuseum.org.uk| <s> Obviously there were always problems and irritations but it was the sort of work I enjoyed, building up stock, organising and indexing things and answering enquiries which is to some extent what I am still doing in the Museum now. </s> 
umdearborn.edu| <s> We can build a stronger community, both during emergencies and in calmer times, for all of our students, faculty and staff. </s>
seda-cog.org| <s> THe Pennsylvania Department of Transportation's Rail built about 1,600 more feet of railroad track. </s>
rootchange.org| <s> Building on the success of business model generation tools, Root Change worked with WBI network teams to profile their target audience (network target segment) and clarify exactly what each network aims to solve or deliver (their value proposition). </s> 
emmawillard.org| <s> Emma students build awareness today. </s>
healthforanimals.org| <s> To ensure this continued progress and build upon the 200 years of success, regulatory authorities, researchers, industry, veterinarians, the media and the general public need to have a clear understanding of the benefits and risks associated with vaccines. </s> 
jliss.net| <s> Only two North American Aviation plants built B-25s: NAA's main plant in Inglewood, California, and a plant in Kansas City, adjacent to Fairfax Field. </s> 
rumahbapaku.net| <s> God is building a new generation of loving, caring believers in our home that have a growing knowledge of God and His spiritual truths. </s> 
antibullying.eu| <s> The amendment would allow for greater penalties of up to two years in prison and extend the period of time made available to authorities attempting to build difficult cases against offenders. </s> 
imc.nl| <s> Being part of a great team is important in any job and because IMC Chicago employs people from across the world, you'll have endless opportunities to find your place on our team and build a network of friends. </s> 
imi.ie| <s> The partnership and it is built on credibility and trust. </s>
hchylivingston.org| <s> In addition, her work during these years on the committees resulted in building expansions at all six of the district's elementary schools. </s> 
virginia.edu| <s> Given this, there is a question of whether or not sacrifice is serviceable for a modern neo-Kantian ethics that is built on the free choices of autonomous selves. </s> 
beitrabban.org| <s> During a discussion about Sukkot, all of the Gan Katom students agreed that they wanted to build a sukkah in our classroom using wood. </s> 
feedthefuture.gov| <s> Feed the Future build the capacity of future agriculture specialists in the country. </s>
theunfocused.net| <s> Marcus Tucker: Yes, the plan is for Taskfox to (eventually) be merged with the Firefox codebase and be part of the official shipped builds . </s> 
arizona.edu| <s> In October 2013, one year after launching at the UA, TLA kicked off a regional eco-system partnership with the City of Tucson , the Commercialization Network Alliance (CNA) . In this unique, public-private partnership, the city contracted with Tucson-based firm, AZTERA , to work directly with Tech Launch Arizona to build the Wheelhouse Network and to represent the city in entrepreneurial and tech commercialization discussions across Southern Arizona. </s> 
southernproperties.net| <s> We build your dream home in real estate. </s>
northshore-village.org| <s> Our mission is to help you build upon the foundation of your past success, support your objective of achieving continual growth, and facilitate your ability to embrace new opportunities. </s> 
uva.nl| <s> Using modern techniques, chemists at the UvA study the structure and characteristics of molecules and living cells, even developing new molecules that can be used to build smart solutions for a sustainable future. </s> 
pacbi.org| <s> Organizers and participants left the conference with a sense of accomplishment: practical recommendations are in place for building the popular Palestinian BDS campaign as a strategic form of civil resistance in the long struggle ahead against Israel's regime of apartheid over the Palestinian people. </s> 
myaadenetwork.org| <s> Sandi Burke, PhD, APRN, BC-ADM, FAADE, FAAN; now Professor & Academic Chair, Undergraduate Programs, at St Louis Barnes-Jewish College, Goldfarb School of Nursing co-presented the session: Jazz it up: Building the CDE – CHW Connection into Your Practice. </s> 
everett.nl| <s> From custom built portals to just the ctrl-alt-delete option in windows, in almost every case combined with an internal or external service desk for password service calls. </s> 
dpdproject.info| <s> The principle "improve badge impact" and "research FOR badges" is exemplified through the practice of " building an online community," as 4-H examines online sites to shape their practices of fostering a web-based hub of learning and sharing. </s> 
virtualschool.edu| <s> Vendors build cards from off-the-shelf chips without needing to understand the minute gate and block-level details that their vendors must know to build silicon chips. </s>
smallwatersupply.org| <s> I built our website using the technologies we have chosen. </s>
dyndns.org| <s> Meiling's dissertation examines the complex associations between the built environment, mixtures of different air pollutants, and both physical and mental health outcomes. </s> 
whitleyaward.org| <s> Supporting nature conservationists who are usually nationals of the countries where they work, who are often best placed to bring about change, build capacity, and enable projects to become self-supporting. </s> 
scienceprogress.org| <s> This problem is magnified by the related systems problem of the misguided cost-cutting strategies that have decimated hospital's clinical social work staff and continue to act as barriers to building clinical ethics, palliative care, and hospice programs into daily hospital operations. </s> 
tynerblain.com| <s> A good idea to keep recent builds in the same place too, in case a problem sneaks through the process temporarily (like a memory leak or other obscure, not-yet-tested situation). </s>
org.np| <s> Let's not build environment for youth, let's build youth for environment Each and every one of us is responsible for the degradation of environment. </s> 
mediaspectrum.net| <s> The integrated Cloud system was built on a flexible and scalable architecture. </s>
scchildren.org| <s> Julie Valentine Center Fathers are Essential Program County served: Greenville Congressional district: 4 Grant: $13,130 Designed to reconnect fathers to the family, the Fathers are Essential program, educates men on the appropriate skills required to build a healthy relationship with their child(ren). </s> 
ufs.ac.za| <s> However, the massive build particularly with the heavy forequarters and sloping backs of the spotted hyaena makes it quite easy to distinguish them from the brown hyaena. </s> 
adad.org.uk| <s> Trailblazers built their success in 1992 in the NBA. </s>
wasb.org| <s> Eleva-Strum technology education teacher Craig Cegielski and his students who run Cardinal Manufacturing will be featured in an upcoming episode of "American Built " on April 5 on MAVTV – a cable and satellite network with the bulk of its programming focused on motorsports and automotive reality. </s> 
issplatform.ie| <s> They built the "Child Care and Communities". </s>
github.io| <s> The frontend of appear.in is built using AngularJS , Socket.io , WebRTC, Twitter Bootstrap 3 and HTML5, while the backend is built on Node.js using Express and Socket.io. </s> 
a-star.edu.sg| <s> This strategic priority seeks to build our expertise and innovation in order to deliver solutions and commercial opportunities to combat these two growing public health concerns. </s> 
talbotspy.org| <s> For the artist, Zentangle (Tile Variations) will build upon tangles learned in Zentangle basics, while Art in the 21st Century will investigate the global art world. </s> 
haitiresiliencesystem.org| <s> An analysis of infill transit stations built since 2012 along "L" routes in Chicago shows clear increases in ridership and transit oriented development. </s> 
s-cube-network.eu| <s> Recently, the VRESCo project proposed a new infrastructure for service-oriented computing, that also assumes that dynamic binding is the foundation on which loosely-coupled service-based systems are built . </s> 
trivago.ie| <s> The hotel was built by the famous Danish architect Kim Utzon, and is designed in a beautiful minimalist style of high quality, which makes Wakeup Copenhagen Carsten Niebuhrs Gade a match for many of the 3- and 4-star hotels in Copenhagen, at a 2-star price. </s> 
navyrecords.org.uk| <s> This volume is not so much a collection of documents with introduction, more a 'life and letters' built around his papers. </s> 
intermix.org| <s> The Voices of Humanity will be morale builders whose messages are always new and inspiring, and that the multitude of organizations and networks that see the value of uniting humanity will promote the process as an easy way to build a global consciousness. </s> 
africom.mil| <s> ETUs were built through LOGCAP, three by Armed Forces Liberia, and one by the 902nd Engineering Platoon. </s>
vewshorses.org| <s> Not only is he handsome with a great build , he loves the trails and will make a lucky someone a good trail horse. </s> 
ascc.net| <s> As a result, an element of trust exists for the user within social networking tools, and recommendations and collaborations are built upon this trust. </s> 
gratisparkeren.net| <s> Most rods also have a reel seat that rods are classified like spinning rods with reels are specified to be heavier and throw crankbaits, light winds fishing are built with dynamic fish fighting properties, and cheap aminum die casting fly fishing reels a fishing tackle ocean rock fshing reservoir pond lake river – 9000 series around Long Island Sound while fishing equipment, from the guys in the fishing rods. </s> 
rochester.edu| <s> This again was an excellent opportunity to build leadership skills and develop the ability to meet different stakeholder needs through a common vision. </s> 
ugr.es| <s> Ex.: The author reports work since 1991 on building information carnivores, which intelligently hunt and feast on herbivores in Unix, on the Internet, and on the WWW. </s> 
dilovasinakliyat.org| <s> When they find themselves the secret code of success.pdf with a long before he would live in tiny's rich backdrop, who create pdf using php tutorial have built . </s> 
aseed.net| <s> For this reason we are continuing to build a broader and bigger Dutch Food action movement; through practical help, linking up groups and individuals and through exchanging experiences and information. </s> 
alabama.travel| <s> Built 1935. </s> 
thetab.org| <s> Adult classes available are a Marriage Class with Joe and Amy Pasinski in the Tower Chapel, a Watchmen on the Wall class with Eagles'€TM Wings in the World Prayer Center, We Build People membership class in the Matthew Room with Pastor Al Baun and Greg Collins, and Intercessory Prayer with Pastor Jo Ann Angelo in the World Leadership Center. </s> 
tecnolandia.info| <s> Dams are developed in order to build a man made waterfall; as the water falls, it rotates a turbine as a result transforming the kinetic power into a usable mechanical vitality. </s> 
timkastelle.org| <s> That's pretty interesting Ken. I've kind of resolved myself to never building a house Christopher Alexander style (but I do use some his patterns!), so building networks using his ideas might be a great alternative! </s> 
essma.eu| <s> Although the stadium has got a bit older since it was built in 1992, in terms of accessibility for example, it is still a very solid candidate as a host. </s> 
balhamortooting.org.uk| <s> We've seen the impact on Stratford of improved infrastructure, it would accelerate improvements which have been building in momentum in Tooting over the last decade. </s> 
lrc.org.za| <s> With the elections nearing in South Africa there is hope that the newly-appointed president will give full attention to the uncared-for communities and take the appropriate steps to move them, tackle the contaminated areas, enforce necessary regulations to prevent future housing being built on mine areas and have an overall vision of preventing future pollution. </s> 
pakistanpressfoundation.org| <s> One of the main reasons, according to Ms Sadek, why women rampantly indulged in this patronage was because they considered it a charity; they also wished to leave their individual mark on society which is why most of the work commissioned by such women carries a distinctive flavour of the times they were built in and as well as the position the patron enjoyed. </s> 
minipickup.org| <s> It's a matter of passing the low volume vehicle code here (they take a close interest in modified or scratch built cars, but the rules are reasonable). </s> 
suffolkcountynews.net| <s> A few weeks later the office was moved to the second floor in what was called the Green Block on the northeast corner of Green Avenue and Main Street, built in 1885 by Samuel W. Green. </s> 
frankleng.me| <s> Samba The folks over at FreeNAS have done a great job of keeping Samba up to date, especially with the latest nightly builds . </s> 
usacbi.org| <s> The withholding of food, medicine, schoolbooks, building supplies, among thousands of other items, as well as the right to enter and leave Gaza for any purpose became a weapon to terrorise the civilian population. </s> 
wotbn.net| <s> Later additions include wings built in the 1970s and 1985 as well as an impressive series of steps flanked by fountains leading to a central entrance. </s> 
offcite.org| <s> Details have not been released, but Raine hopes to repeat and build on what has been successful in the existing network, improve safety conditions, and repair deteriorating trails and pathways. </s> 
guerillawire.org| <s> Today, 22 of the 103 NHS trusts to enter PFI are facing difficulty due to the exorbitant repayments required to pay back the so-called NHS Mortgage (paying back the company for building the hospital). </s> 
streets.mn| <s> In a taste of what the world would be like if a new boondoggle St. Croix River Bridge were never built , the Stillwater Lift Bridge closed on September 10 for a 3-month rehabilitation project . Thus far, the world has not ended. </s> 
digitaldemocracy.org| <s> Clearly, the intent of these statutes is to balance the interests of local public entities, building public improvements using roads with the interest of residents and businesses that may be impacted by the projects initiated by officials in another jurisdiction who do not represent them. </s> 
njherald.com| <s> Jennie Sweetman photo – When George Kimber built his house, located on today's Route 284, it was viewed as a typical family-type frontier fort. </s> 
uuormond.org| <s> Chair Bill Ternent, Ben Butera, and Bryan Collyer built it in Granada. </s>
p4nh.org| <s> The conference focused on helping students build practical skills in areas such as time management, preparation for the GRE and MCAT tests, and use of library services. </s> 
iot-vienna.at| <s> The system is used for the new generation of communication equipment, notably for the TETRA trunked radio system ground infrastructure built by Frequentis. </s> 
roccat.org| <s> Robust, ultra-light, and with a comfortable ergonomic headband and netted cloth ear cup cushions, this is a headset that is built to last and suitable for hardcore gaming sessions. </s> 
worldea.org| <s> Musalaha has recognized the unique role that women with foreign background can have in building bridges between the two communities, as well as their need to become comfortable with their own identity, and this is the dual purpose of this group. </s> 
idi-design.ie| <s> These are a valuable resource for those looking to involve design in their workplaces, public planning, built environments, workplaces or facilities. </s> 
phf.org.uk| <s> Building these students' employability skills and understanding of the full range of post-16 options through workshops and follow on coaching, improving confidence and communication skills. </s> 
ndu.edu| <s> Moreover, the ability to sustain and build on the considerable gains achieved in the conduct of joint operations is uncertain as our Armed Forces reset from a decade of sustained combat to face a future of complex challenges and constrained resources. </s> 
eoht.info| <s> Messrs Geoffroy , Gellert, Bergman , Scheel, De Morveau, Kirwan , and many others, have collected a number of particular facts upon this subject, which only waits for a proper arrangement; but the principle data are still wanting, or, at least, those we have are either not sufficiently defined, or not sufficiently provided, to become the foundation upon which to build so very important a branch of chemistry. </s> 
ursinus.edu| <s> The non-profit organization's mission is to empower underprivileged youth through personal and professional development while building their communities through service, reversing the negative trends of the urban communities. </s> 
auu.org.au| <s> The Club has built a mind-controlled robot, participated in competitions, run robotics workshops and held BBQs and social nights - all while keeping our members informed about the latest developments in robotics. </s> 
ieee-cas.org| <s> The goal is to build and support the grass-roots membership of the CAS Society by strengthening local activities and providing additional services to its members. </s> 
treetop.us| <s> Because there were plans to later release a Version 2 of the Sleep Trainer that would use a slightly different data format, we took some extra time to build a solution that could parse both data formats. </s> 
worldsocialscience.org| <s> Transformative Knowledge Workshops are an annual event in the Transformations to Sustainability Programme, bringing together the main partners in the Transformative Knowledge Networks with invited experts for focussed discussions, mutual learning and exchange of experience and to further progress in building the Global Knowledge Trust on social transformation. </s> 
lancasterpriory.org| <s> The organ in the west gallery was built originally by Henry Willis for St. John's church Blackpool in 1915, while the organ in the North Choir Aisle was built by Harrison and Harrison in 1908 for Blackburn Girls' School. </s> 
engad.org| <s> Following my personal vision, in this picture from Wolf Nkole Helzle the whole humanity is present composing the figure of the symbolic human being, the millions of fragments build the symbol of the individual when we move us far away, and the symbolic individual fragments itself again when we approach to the picture. </s> 
squashbusters.org| <s> I like the fact that the college process was built right into the program so that I could come work and ask questions. </s> 
eimf.eu| <s> We should stress the importance of the experience built over the years for the industry by certain national regulators in their subsequent understanding of any risks involved and the measures to mitigate them. </s> 
daviscountyutah.gov| <s> He has served as committee chairman of the Build Legacy Now committee, on the Wasatch Integrated Waste Management board and chair of the Wasatch Front Regional council, a transportation planning committee comprised of mayors and commissioners from five counties along the Wasatch front. </s> 
aweinautism.org| <s> But George, like many children who have ASD, does not naturally gravitate to back-and-forth, dynamic activities that build relationships – which is why I value our cooking time together so much. </s> 
deliberation.info| <s> It is the asserted right of the first strike, which could annihilate the Iranian people – who are bullied by a loudmouth and directed to an organized frenzy – because it is suspected that an atom bomb is being built in the land where he rules. </s> 
blog-collector.org| <s> Only build a portfolio of shares listed in the marketplace while they do this cold sore patch walgreens fundamental analysis are often late. </s> 
ttc.org.nz| <s> As for the sidle track, this reporter along with many other club members helped survey the route, but lost interest when it seemed unlikely the track would ever be built . </s> 
ondernemeninontwikkelingslanden.nl| <s> This will be followed by facilitated discussion and action planning in order to seize the opportunities, build upon the strengths, counter the weaknesses and threats within the direct relationship between farmers and firm, but also the environment in which they operate; such as the regulatory environment, service suppliers and market conditions. </s> 
gingerbread.org.uk| <s> During the last 8 years my sons father has done some temporary work here and there but still lives at home with his parents and doesn't seemed to have done much with his life in terms of building himself a future. </s> 
nationalenterprisenetwork.org| <s> The winning prize package for each award includes £5,000 of investment plus mentoring, including legal, branding and marketing advice, as well as an opportunity for the winners to build their network and raise their profile in order to further their prospects. </s> 
benno.id.au| <s> The next challenge was actually just getting the kernel I had built from to work with the rootfs rather than just the binary kernel. </s> 
atlassociety.org| <s> Houses here are built like fortresses: just the picture of the open lawns and bare, unbarred windows of U.S. houses must seem like a dreamland of peace and plenty. </s> 
theurbanist.org| <s> However, Vulcan was able to submit it's plan before the new zoning took effect, vesting their rights to build two six-story corporate offices in the middle of the of the area. </s> 
readinghalloffame.org| <s> But my original goal in starting research on the reading process was to provide teachers with the knowledge that would make it possible for them to understand reading and to build their teaching on that knowledge. </s> 
startingelectronics.org| <s> This is the same method used to read the analog inputs of the Arduino in the WebServer example that is built into the Arduino software (found in the Arduino IDE under File → Examples → Ethernet → WebServer ). </s> 
ssti.org| <s> The Democracy Collaborative, with support from the Community Affairs program of the Regional Federal Reserve Banks, is working with a host of partners to create an Anchor Dashboard that can establish common metrics, support data collection, and build a national community of practice focused on leveraging the power of anchor institutions to drive inclusive competitiveness and rebuild struggling communities. </s> 
idvsa.org| <s> From 1997 until 2004, she was Executive Director of the Texas Homeless Network, a non-profit organization that built homeless coalitions across the state, provided resources and technical skills to non-profit organizations that served the homeless. </s> 
cheerjob.info| <s> How do you build a New Media company in the digital era ... Howcast.com offers 200,000 videos ranging from the prosaic "How to Paint a Wall" to the piquant "How to Kiss With Passion," its most popular video ever with 20.8 million views on YouTube. </s> 
ahwaziarabs.info| <s> The AFZ is being built at the expense of Arabs who will lose their farmland and be forced to live in city slums. </s> 
leoncountyfl.gov| <s> Dr. Andrew Rogers, a staunch "Gator" had it drained for mosquito control purposes and then had the irony of seeing a "Seminole" football field built on the grounds. </s> 
citizencyberlab.eu| <s> A new world of science is emerging – one where average people are encouraged to participate, relying on help from a web-based community of amateur and professional scientists to initiate and build their own science projects online. </s> 
epim.info| <s> Through its grants and capacity-building programme, EPIM encourages NGOs to network and partner across the EU in order to build effective coalitions for advocacy and to learn from the advocacy strategies and experiences in other countries. </s> 
europeubf.org| <s> Luke's gospel Sunday messages 3. 12 1:1 Bible studies and 12 Sunday worship attendees (Begi, Bolor, and Zaja to be rooted and built up in the word of God) 4. </s> 
mrt.ac.lk| <s> However a built environment to be considered as an 'architecture' it requires responses to the both qualitative and quantitative requirements of design generators and constraints. </s> 
laca.org.au| <s> Energex won't build an electricity sub-station in their street which they felt would be unsafe. </s>
intelligencecomputing.io| <s> This experience lead me to focus on building Kafka to combine what we had seen in messaging systems with the log concept popular in databases and distributed system internals. </s> 
indiemusicreviews.net| <s> Los Angeles' brightest new star is building her musical reputation brick by brick. </s>
actionforhappiness.org| <s> World Happy Day is a unique global event where people in local communities all around the world will connect together and be inspired to help build happier lives and communities. </s> 
powerprofiles.org| <s> Schlickenrieder had apparently built up spying experience during years of working for Germany's domestic and foreign intelligence services, Landesamt für Verfassungsschutz and Bundesnachrichtendienst . Documents found at his home indicated he had had access to reports from them as well as the French and Italian secret services. </s> 
anchoragecentennial.org| <s> O.W. Petersen had filed on the Fireweed Lane homestead and built a one-room cabin on it; Mr. Petersen relinquished the homestead to my grandfather for the price of the cabin and other improvements. </s> 
valleychildrens.org| <s> So for his Eagles Scout Service Project he proposed raising funds for and building the course to help Valley Children's patients with various forms of disabilities better navigate their environment. </s> 
greenenergyinvesting.net| <s> Developers have to submit lighting plans with building permit applications, and owners of existing developments have until 2018 to come into compliance with these "dark skies" requirements intended to preserve the view of the stars. </s> 
gresham.ac.uk| <s> Sullivan refused ever to write again for the Savoy, and went in with D'Oyly Carte, who built the Royal English Opera House, now the Palace Theatre, which opened with Sullivan's only grand opera, Ivanhoe . </s> 
driestar-educatief.nl| <s> Following this survey we will build a database of examples for initial and post-initial teacher training. </s>
uesp.net| <s> My biggest piece of advice is don't get too attached to your first character and don't be afraid to start again, keep experimenting with different class builds , as you play through the game you'll probably realise that you picked the wrong skill or joined the wrong guild or something and will be tempted to start again (I have found that it takes a couple of characters to get the one that suits you the best). </s> 
parkwayucc.org| <s> The one built on rock survived; the one on sand did not. </s>
greeneconomycoalition.org| <s> Therefore, the EC initial framing of the 'WHAT' - "Investing in the sustainable management of key resources and natural capital" should be expanded to include 'in order to build an economy that explicitly pursues wellbeing for all'. </s> 
artsjobs.org.uk| <s> We can build a long-term relationship over the coming years. </s>
jewishdayton.org| <s> The Jewish Foundation builds the Dayton Jewish community's future. </s>
creating-change.org.uk| <s> They were building the Story of Change. </s>
explained.today| <s> ancient Romans built a castle here. </s>
starling-framework.org| <s> Another issues I remember was the build in parallax effect - that was to hard to disable or hook my own 3D system in place- it was already to specificly target at what it wanted to be - starling at its core allows much more freedom to build or extend on top. </s> 
openhub.net| <s> Rich: One thing I learned through my prior experience is that the greatest challenges in building a robust developer community are usually not technical. </s> 
techtarget.in| <s> In the past, you had 20 different mobile app vendors figuring out mobile middleware, so you had this huge layer of technology that everyone was building on their own. </s> 
af.mil| <s> For Airman Kelly, the experience has been rewarding because it has taught her teamwork, time management and helped build her character. </s> 
inspireyourselftoday.net| <s> Actively work directly with customers out in the field to understand how to build software and services that help them achieve their goals. </s> 
staticred.net| <s> I was no longer really working in the web proper, but still made use of and built web-based projects on a regular basis. </s> 
yale.edu| <s> Should a test-firing succeed this year and fusion be demonstrated in Livermore, the NIF team would be far more likely to get the billions more from the Department of Energy that the NIF leadership says are needed to build the first-ever prototype fusion reactor. </s> 
minhousing.govt.nz| <s> The Department launched its product assurance guide last April and then teamed up with BRANZ to run nationwide seminars for building consent authorities (BCAs), manufacturers, suppliers and residential designers. </s> 
vmwarenews.de| <s> Nigel brings to his current role a depth of telecommunications experience built through the the design, delivery and marketing of networking solutions in a career spanning almost 30 years. </s> 
org.| <s> In Minnesota and along a lot of the indigenous communities is having sincere conversation of how we can build sustainable sovereign nations and also have a conversation about what does localized energy production look like, what does localized food production look like, what does it mean to really self determine our future as native people? </s> 
missiondiscovery.org| <s> While the visible part of a Mission Discovery summer mission trip week may be repairing a rotted floor, painting a home, or building a wheelchair ramp, the other work is the hope that Christ brings to the families we serve. </s> 
departuresandarrivals.travel| <s> Morning sightseeing of New Delhi is consisting of drive through the Raisina Hills- Parliament House, India Gate, President House; 16th century tomb of Emperor Humayun built of Marble & Red stone in typical Mughal fashion, Lotus temple ( Bahai Temple) & Qutab Minar. </s> 
justgoodnews.biz| <s> Once Austin and Dallas are in place, the company plans to build five more Texas facilities; however, the other cities have not been named as of yet. </s> 
mycouncillor.org.uk| <s> Once again I've seen an email from the Tory's accusing the council of treating this as a done deal, exactly the same thing that they were saying about proposals to build in Toton even on the day that we dropped them. </s> 
ycabfoundation.org| <s> As the only foundation owned by a company in Asia that focuses on the development of social entrepreneurship, DBS Indonesia contributes to build an environment with – better standards, so the people, and the entrepreneurs in Singapore, India, Indonesia, China, Taiwan, and Hong Kong through various programs from basic training, to workshops that enhance – business incubation. </s> 
flightstohawaii.xyz| <s> Family Dollar built a new store that opened earlier this year on John L Avenue at Route 66 ... No. 20 for median monthly cost for renter-occupied housing units at $916. </s> 
dmu.ac.uk| <s> The ch'teau was built for a family of very successful merchants of Marseille that were ennobled by Louis XV in 1753. </s> 
newamericanstrategies.org| <s> Part of the process of building a larger zone of peace involves also engaging Russia and drawing it into a closer relationship simultaneously with Europe and with the Euro-Atlantic community. </s> 
ecec.net| <s> Therefore the ECEC Executive Board decided that it is more than just and equitable to honour those persons, who made, make and will make outstanding and essential contributions to build up such a strong and effective representation. </s> 
replicant.us| <s> As adb is built as a 32 bit binary, you will need to install compatibility libraries for 32 bits executables if your computer is running on a 64 bit architecture. 7. </s> 
theatreforum.in| <s> Perhaps a cynical view is that the 68% felt that they had to keep up with their competitors and that the 66% were really just interested in building up collections at the box! </s> 
skynoise.net| <s> VDMX 5 will also work very well with quartz composer files, the software built into OSX – meaning further fast, fluid capacities. </s> 
forgetthebox.net| <s> It is a strategy to remove from these states all of their social aspirations; a strategy to transfer the public wealth, amassed through the struggle of many generations to build a social structure that would provide for everyone, into the hands of an elite. </s> 
uubrunswick.org| <s> To build those unlikely friendships, to open to the wider story – as yet unknown, to create new deep rumbling languages together, to begin, right here, to make of our earth the peaceable kingdom artists have only dreamed of. </s> 
truthalliance.net| <s> He prefers to think of his Liberator in the same terms as its namesake, the one built for distribution to resistance fighters in Nazi-occupied countries in the 1940s. </s> 
thestonetrust.org| <s> Taking a level one workshop is also highly recommended, if you are considering hiring someone else to build a wall for you, as you will learn how to evaluate contractors work and make an informed decision about who you want to build your wall. </s> 
belizetimes.bz| <s> While many hurricane victims still have no proper shelter, the Minister has been storing up stockpiles of building materials at his property at Mile 3 on the Western Road, most of which was obtained in bulk purchases from one special hardware store. </s> 
irvinenewleadershipnetwork.org| <s> Effective collaboration requires authentic, trust-based relationships, and consequently networks must focus a significant amount of time up front on building genuine relationships, and providing the space for each leader to share their own personal story behind why they do what they do. </s> 
socialwatch.org| <s> Some of the LDC Watch slogans in the rally were: "Lets build an inclusive society to ensure sustainable peace", "Respect, protect and fulfill the rights of people", "No pounding of people's sovereignty", "Say no to war", "Poverty is the greatest enemy of peace, let us kill it", "Let there be peace and let it begin with me", and "Secularism is a key tenet of democracy and peace". </s> 
bobmorris.biz| <s> John Butman is founder and principal of the idea and content development firm Idea Platforms, Inc. and author of Breaking Out : How to Build Influence in a World of Competing Ideas (Harvard Business Review Press 2013). </s> 
eteda.org| <s> A development group that includes Budd Cullom, Jim Harrison and Mike McGuffin said in a statement that a project called University Commons will be built at the property located between Volunteer Boulevard and Alcoa Highway. </s> 
umich.edu| <s> The dining hall now meets high sustainability levels in the categories of disposables, energy use, food, building materials, chemicals, waste and water. </s> 
nationalscience.org| <s> Dr. Butte's lab at Stanford builds and uses computational tools that convert more than 400 trillion points of molecular, clinical, and epidemiological data – measured by researchers and clinicians over the past decade and now increasingly publicly available – into diagnostics, therapeutics, and new insights into disease. </s> 
aacr.org| <s> These studies would also build upon what is currently known about radiation-stimulated DNA damage and repair pathways, an area where we know the biology but need help translating this knowledge into improved treatments. </s> 
ictschools.gov.in| <s> The learning strands seek to build capacities to handling today's and tomorrow's technologies appropriate for use in education, capitalizing on technology to master technology, managing the ICT infrastructure, using technology to surmount barriers and to acquire insights to lead technology educationally. </s> 
kartverket.no| <s> The project is aiming at building competence and capacity within the partner institutes; the Albanian Hydrographic Service (AHS) and the Military Geographical Institute (MGI). </s> 
boisestate.edu| <s> Beyond that, a model that predicts the capacity of the landscape to support dam-building activity by beavers will be presented that helps build realistic expectations about where beaver may or may not be appropriate restoration agents. </s> 
wexnerfoundation.org| <s> He finds this pulpit rewarding for the opportunity it affords to help people build religious lives that are holy in both traditional and contemporary ways. </s> 
opendata-aha.net| <s> Influenced by the Government Digital Service and by more generally by things like agile development and the 'Learn Startup' movement we built a small, co-located, multi-disciplinary team that has been truly user focused since day one. </s> 
ezsmoke.ie| <s> The MVP 2.0 was virtually indestructible , and the new and improved iTaste MVP 3.0 is built to the same high standards that one would expect from Innokin. </s> 
mnfc.org.uk| <s> Over the last few years Mally and his good lady Sylvia have built up a team of pigeons that have flown exceptionally well in the MNFC and wins include 1st YB National in 2011. </s> 
sahaglobal.org| <s> One of the elders from Gidanturu hanging out at the future site of the CWS water business Building the Gidanturu polytank stand Me with the guys from Gidanturu who helped build the polytank stand (minus Peter who was taking the picture!) Finishing up the polytank stand! </s> 
massivepr.tv| <s> The highly effective and exclusive blend of omegas and antioxidants contained in Paradox Omega Sport is designed to help increase energy, performance, and stamina; help build muscle; prevent muscle break down; prevent and reduce inflammation and therefore help speed recovery and healing from injury. </s> 
zewailcity.edu.eg| <s> During the conference, a wide range of topics will be covered including, the scientific knowledge and tools required for successful research projects; strategies on how to apply for and succeed in obtaining and sustaining research funding; preparing for careers in academia or the medical industry; and engaging in interdisciplinary projects and building community partnerships to enhance research outcomes . </s> 
worldvision.org| <s> Encouraging people to join build-back-better workshops as part of the requirement for shelter beneficiaries, World Vision aims to educate people to build disaster-safe houses and promote awareness on disaster preparedness. </s> 
